scenario,layout,run,n,f,commits,budget_kib,locality,tree_bytes_avg,transaction_bytes_avg,total_bytes_avg,commit_ms_avg,commit_ms_p50,commit_ms_p95,flushes,open_read_ops,open_ms,resolve_read_ops_avg,resolve_ms_avg,resolve_ms_p50,resolve_ms_p95,materialize_read_ops,materialize_ms,cache_policy
AB-TRICKLE,betree,2,50000,10,500,256,scattered,146433.232,0.000,146433.232,0.740,0.763,1.016,2,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,flat,3,50000,10,500,256,scattered,4477891.248,0.000,4477891.248,6.780,6.744,7.324,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,betree,3,50000,10,500,256,scattered,146433.232,0.000,146433.232,0.737,0.729,1.015,2,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,1,50000,10,500,64,contiguous,4949325.638,4477877.248,9427202.886,68.775,67.537,77.955,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,2,50000,10,500,64,contiguous,4949325.626,4477877.248,9427202.874,67.780,66.065,78.836,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,3,50000,10,500,64,contiguous,4949325.636,4477877.248,9427202.884,67.990,66.083,79.525,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,1,50000,10,500,64,scattered,5009244.972,4477877.248,9487122.220,67.399,65.889,77.119,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,2,50000,10,500,64,scattered,5009244.960,4477877.248,9487122.208,70.348,69.220,86.061,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,3,50000,10,500,64,scattered,5009244.976,4477877.248,9487122.224,82.147,81.098,99.996,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,1,50000,10,500,128,contiguous,4970842.964,4477877.248,9448720.212,77.693,76.543,95.156,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,2,50000,10,500,128,contiguous,4970842.956,4477877.248,9448720.204,69.065,67.584,78.923,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,3,50000,10,500,128,contiguous,4970842.952,4477877.248,9448720.200,68.633,67.177,78.402,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,1,50000,10,500,128,scattered,5009246.750,4477877.248,9487123.998,69.753,68.466,81.292,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,2,50000,10,500,128,scattered,5009246.750,4477877.248,9487123.998,68.356,66.664,78.208,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,3,50000,10,500,128,scattered,5009246.742,4477877.248,9487123.990,68.249,67.429,79.258,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,1,50000,10,500,256,contiguous,5021236.328,4477877.248,9499113.576,67.142,65.589,76.110,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,2,50000,10,500,256,contiguous,5021236.328,4477877.248,9499113.576,69.448,66.791,80.902,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,3,50000,10,500,256,contiguous,5021236.324,4477877.248,9499113.572,69.004,67.652,78.995,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,1,50000,10,500,256,scattered,5039791.084,4477877.248,9517668.332,69.448,68.178,79.087,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,2,50000,10,500,256,scattered,5039791.096,4477877.248,9517668.344,64.609,63.149,73.848,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-TRICKLE,tiered,3,50000,10,500,256,scattered,5039791.092,4477877.248,9517668.340,64.405,63.156,73.830,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,flat,1,50000,1,100,128,contiguous,4287946.000,0.000,4287946.000,6.516,6.469,6.884,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,betree,1,50000,1,100,128,contiguous,5624.000,0.000,5624.000,0.724,0.688,0.816,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,flat,1,50000,1,5000,128,contiguous,4498646.975,0.000,4498646.975,7.059,7.010,7.683,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,betree,1,50000,1,5000,128,contiguous,62516.994,0.000,62516.994,0.972,0.930,1.311,6,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,flat,1,50000,50000,1,128,contiguous,8133603.000,0.000,8133603.000,15.145,15.145,15.145,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,betree,1,50000,50000,1,128,contiguous,4647444.000,0.000,4647444.000,213.732,213.732,213.732,63,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,flat,2,50000,1,100,128,contiguous,4287946.000,0.000,4287946.000,6.712,6.614,7.390,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,betree,2,50000,1,100,128,contiguous,5624.000,0.000,5624.000,0.698,0.682,0.803,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,flat,2,50000,1,5000,128,contiguous,4498646.975,0.000,4498646.975,7.023,6.988,7.644,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,betree,2,50000,1,5000,128,contiguous,62516.981,0.000,62516.981,0.962,0.935,1.262,6,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,flat,2,50000,50000,1,128,contiguous,8133603.000,0.000,8133603.000,14.916,14.916,14.916,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,betree,2,50000,50000,1,128,contiguous,4648532.000,0.000,4648532.000,212.871,212.871,212.871,63,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,flat,3,50000,1,100,128,contiguous,4287946.000,0.000,4287946.000,6.629,6.567,7.066,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,betree,3,50000,1,100,128,contiguous,5624.000,0.000,5624.000,0.727,0.716,0.856,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,flat,3,50000,1,5000,128,contiguous,4498646.975,0.000,4498646.975,7.002,6.970,7.573,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,betree,3,50000,1,5000,128,contiguous,62516.994,0.000,62516.994,0.974,0.951,1.277,6,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,flat,3,50000,50000,1,128,contiguous,8133603.000,0.000,8133603.000,14.534,14.534,14.534,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,betree,3,50000,50000,1,128,contiguous,4647188.000,0.000,4647188.000,226.667,226.667,226.667,63,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,tiered,1,50000,1,100,128,contiguous,10187.300,129.000,10316.300,7.685,7.443,7.791,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,tiered,1,50000,1,5000,128,contiguous,219126.962,129.975,219256.937,8.400,7.610,9.470,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,tiered,1,50000,50000,1,128,contiguous,16273514.000,8133589.000,24407103.000,123.528,123.528,123.528,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,tiered,2,50000,1,100,128,contiguous,10187.350,129.000,10316.350,8.836,8.619,9.175,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,tiered,2,50000,1,5000,128,contiguous,219126.964,129.975,219256.939,8.332,7.510,9.271,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,tiered,2,50000,50000,1,128,contiguous,16273513.000,8133589.000,24407102.000,121.869,121.869,121.869,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,tiered,3,50000,1,100,128,contiguous,10187.370,129.000,10316.370,8.589,7.196,14.068,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND-STEADY,tiered,3,50000,1,5000,128,contiguous,219126.968,129.975,219256.942,8.762,7.768,12.642,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-ONESHOT,tiered,3,50000,50000,1,128,contiguous,16273513.000,8133589.000,24407102.000,116.031,116.031,116.031,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-OPEN,flat,1,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,27.805,0.000,0.000,0.000,0.000,3,27.805,disabled
AB-RESOLVE,flat,1,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.001,0,0.000,disabled
AB-OPEN,betree,1,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,2,1.135,0.000,0.000,0.000,0.000,136,47.870,disabled
AB-RESOLVE,betree,1,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,0.355,0.350,0.394,0,0.000,disabled
AB-OPEN,flat,2,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,29.573,0.000,0.000,0.000,0.000,3,29.573,disabled
AB-RESOLVE,flat,2,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.001,0,0.000,disabled
AB-OPEN,betree,2,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,2,0.872,0.000,0.000,0.000,0.000,136,47.854,disabled
AB-RESOLVE,betree,2,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,0.368,0.371,0.409,0,0.000,disabled
AB-OPEN,flat,3,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,26.028,0.000,0.000,0.000,0.000,3,26.028,disabled
AB-RESOLVE,flat,3,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.001,0,0.000,disabled
AB-OPEN,betree,3,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,2,0.874,0.000,0.000,0.000,0.000,136,48.605,disabled
AB-RESOLVE,betree,3,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,0.362,0.357,0.417,0,0.000,disabled
AB-OPEN,tiered,1,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,0.435,0.000,0.000,0.000,0.000,20,45.030,disabled
AB-RESOLVE,tiered,1,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,3.118,3.118,3.239,0,0.000,disabled
AB-OPEN,tiered,2,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,0.241,0.000,0.000,0.000,0.000,20,40.020,disabled
AB-RESOLVE,tiered,2,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,3.124,3.111,3.259,0,0.000,disabled
AB-OPEN,tiered,3,100000,1,100,128,append,0.000,0.000,0.000,0.000,0.000,0.000,0,3,0.276,0.000,0.000,0.000,0.000,20,41.838,disabled
AB-RESOLVE,tiered,3,100000,1,100,128,deterministic,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,2.000,3.112,3.099,3.235,0,0.000,disabled
AB-APPEND,flat,1,1000000,1,100,128,contiguous,85987946.000,0.000,85987946.000,126.353,125.490,132.980,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,betree,1,1000000,1,100,128,contiguous,6018.000,0.000,6018.000,0.672,0.649,0.865,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,flat,2,1000000,1,100,128,contiguous,85987946.000,0.000,85987946.000,126.135,125.247,131.217,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,betree,2,1000000,1,100,128,contiguous,6018.000,0.000,6018.000,0.659,0.657,0.760,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,flat,3,1000000,1,100,128,contiguous,85987946.000,0.000,85987946.000,125.692,125.181,129.994,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,betree,3,1000000,1,100,128,contiguous,6018.000,0.000,6018.000,0.630,0.631,0.690,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,tiered,1,1000000,1,100,128,contiguous,91959.350,129.000,92088.350,239.995,241.104,258.693,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,tiered,2,1000000,1,100,128,contiguous,91959.360,129.000,92088.360,241.996,242.144,264.478,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
AB-APPEND,tiered,3,1000000,1,100,128,contiguous,91959.390,129.000,92088.390,239.111,239.973,259.081,0,0,0.000,0.000,0.000,0.000,0.000,0,0.000,disabled
